,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,DF_ACE,AVR_DF,DF_PFS,DF_PSS,WIN,Break,H2H,DF_POINT,DF_RANK,PPM,complet,FATIGUE
0,19942,32203,13204,5,2016-05-25 00:00:00,2.299303627,0.7526706759,-0.0185804706,-0.0340569589,0.1318996416,0.0675763185,0,5,-13,0.0313117191,57.3225631198,0
1,14609,20648,12992,5,2016-06-01 00:00:00,1.1863066538,-0.6202797048,0.0135458492,0.0073277179,0.0280135005,-0.0245924933,0,-10,28,-0.0179273768,8.3881065863,0
2,13576,1718,12993,4,2016-06-01 00:00:00,0.387593039,-0.8024219394,-0.0170465667,-0.0186467723,0.0689540638,0.0653403111,0,-548,270,0.0127173097,-140.8339765584,0
3,2904,9842,12993,4,2016-06-01 00:00:00,0.1687066503,0.8138259894,0.008708911,-0.0068994063,0.0111689106,-0.0016123756,0,66,-135,-0.0128236043,139.3111606717,0
4,4003,1181,12993,4,2016-06-01 00:00:00,1.4471926787,2.0882018303,-0.0037025231,-0.0252007016,0.0338857284,0.0276319557,0,-42,12,0.0004530687,374.7285876113,0
5,24127,33310,13226,4,2016-06-01 00:00:00,2.5555555556,1.1111111111,-0.0611138764,-0.1043190526,0.2222222222,0.2254590725,0,0,0,0.0617262849,10.6069872393,0
6,18282,13683,13226,4,2016-06-01 00:00:00,-0.767023072,0.4716129032,-0.0123641205,-0.0512057982,0.0129032258,0.0667650974,0,3,7,0.0712810697,-68.3725282073,0
7,12195,9887,13228,5,2016-06-01 00:00:00,-0.0515824642,0.7954792043,-0.0428361427,-0.0612605292,0.1491862568,0.0742480548,0,-58,408,0.0551803013,19.5493206046,0
8,26890,22906,13228,5,2016-06-01 00:00:00,-1.7762312699,-0.0593623381,0.0206000801,0.0517795599,-0.119047619,0.0583649426,0,8,-82,0.0169239564,-67.2156732375,0
9,14465,24009,13228,5,2016-06-01 00:00:00,0.1253107075,-0.3,-0.0562728427,-0.0561457745,0.175,0.0727999145,0,68,-460,0.0749732655,105.7252181084,0
10,13398,20285,13228,5,2016-06-01 00:00:00,0.4092796952,-0.8978783239,-0.0185890449,0.0228677096,0.0819307717,0.0469540798,0,1,-74,0.0109173013,32.4732421301,0
11,1092,6691,12814,9,2016-06-01 00:00:00,4.7169027872,0.2717215841,-0.0058833839,-0.0528457611,0.1573778251,-0.0311024469,0,1111,-49,-0.0161882956,541.7519638957,0
12,1075,674,12814,9,2016-06-01 00:00:00,1.431371032,0.3334670203,-0.0299917415,-0.0790574697,0.1316512242,0.0260746008,0,5615,-15,0.0355693645,387.4021407369,0
13,9043,10202,12991,5,2016-06-01 00:00:00,0.8555839542,-2.131384866,-0.0126127162,-0.0190127273,0.0724164809,0.0041556644,0,203,-44,0.0021123259,149.4130350452,0
14,18017,728,12991,5,2016-06-01 00:00:00,-0.4559477124,0.9090196078,-0.0052381501,-0.0260896414,0.019869281,0.0349222284,0,-2531,486,0.0220704786,205.4257334704,0
15,10828,14814,12992,5,2016-06-01 00:00:00,-2.9933952528,-0.3971104231,-0.051420978,-0.045338527,0.066873065,0.0395533514,0,8,-6,0.0265375979,-284.8636833318,0
16,616,6962,12992,5,2016-06-01 00:00:00,0.5615553614,0.71767384,0.0366416798,0.0481184371,-0.1024908018,-0.0160996548,0,685,-178,-0.0423138267,172.0023226126,0
17,3996,31392,12992,5,2016-06-01 00:00:00,-1.3800327332,0.3775777414,0.0123224729,0.0177820355,-0.0325695581,0.0106194092,0,564,-778,-0.0054041121,169.4654017377,0
18,41921,28053,12993,4,2016-06-01 00:00:00,-4.9090909091,-0.3636363636,-0.0399821865,-0.135637724,0.0303030303,-0.1105339105,0,0,0,0.03900353,-47.9974025974,0
19,875,6080,12993,4,2016-06-01 00:00:00,-2.7276401125,0.2334551058,-0.0321381697,-0.0375042199,0.0337572867,0.0393783537,0,-10,11,0.0447397061,-358.1728658468,0
20,7732,32032,13224,4,2016-06-01 00:00:00,0.4199820622,-0.7814685315,-0.1005838828,-0.1580760467,0.3234265734,0.081223349,0,69,-453,0.0503950525,62.7110557518,0
21,30518,22150,13224,4,2016-06-01 00:00:00,0.5468663213,0.7,0.068835242,0.0310395554,-0.1,0.1620833333,0,-4,4,-0.0317095423,0.8705458291,0
22,18720,24288,13224,4,2016-06-01 00:00:00,-0.1946843269,-0.4595015576,-0.102209254,-0.1178533807,0.218847352,-0.022918148,0,37,-325,0.0426786046,70.6639151104,0
23,22949,29367,13225,4,2016-06-01 00:00:00,3.5549500863,-0.0416666667,-0.0437639697,-0.0781317135,0.1666666667,0.1343220899,0,5,-5,-0.005569889,46.6259015577,0
24,745,7462,12993,4,2016-06-01 00:00:00,1.9935566421,1.109793254,-0.0215277882,-0.0671415831,0.1237490289,-0.0112159703,0,459,-274,-0.0145527008,496.0627635085,0
25,18398,17735,13232,4,2016-06-01 00:00:00,-0.9642857143,-4.7001721358,-0.1102811605,-0.0626270702,0.2857142857,0.1158610596,0,2,59,0.0711320526,28.7820462276,0
26,4146,26218,12991,5,2016-06-01 00:00:00,2.8145500238,0.1848650288,0.0219841281,0.0222469088,-0.0015165302,-0.0411399203,0,672,-724,-0.0367331945,563.8175299492,0
27,13957,6002,12992,5,2016-06-02 00:00:00,-0.0303268609,-0.2250993737,-0.0225686879,-0.0061577319,0.0352598015,0.0159524355,0,-364,231,0.0190808035,-66.2849999135,0
28,1936,10415,12992,5,2016-06-02 00:00:00,-7.5369606184,-0.6494078747,-0.0737869133,-0.0552748465,0.1360890068,0.0809561771,0,378,-265,0.0704253948,-339.4263860073,0
29,13429,26221,12993,5,2016-06-02 00:00:00,0.3698752228,-0.802436126,0.0021045447,0.0062211769,0.0297088532,0.0151844406,0,154,-591,-0.0022956765,380.5845037574,0
30,762,11517,12993,5,2016-06-02 00:00:00,-3.7895970566,0.2138079757,-0.019729449,-0.0280389868,0.0753071034,0.0175732208,0,480,-193,0.0327836767,-317.2371759419,0
31,7772,2904,12993,5,2016-06-02 00:00:00,-0.0599157784,-0.3814792663,-0.0026601044,0.0292042824,-0.0498405104,-0.0153184476,0,162,-142,0.0053841336,-141.3718624414,0
32,4003,875,12993,5,2016-06-02 00:00:00,4.3497288411,1.6625429824,0.0166074914,-0.0051162351,0.0115629532,-0.0488801323,0,80,-50,-0.055073097,581.575232422,0
