,ID1_G,ID2_G,ID_T_G,ID_R_G,Winner
0,19942,32203,13204,5,19942
1,14609,20648,12992,5,20648
2,13576,1718,12993,4,1718
3,2904,9842,12993,4,2904
4,4003,1181,12993,4,4003
5,24127,33310,13226,4,24127
6,18282,13683,13226,4,13683
7,12195,9887,13228,5,9887
8,26890,22906,13228,5,22906
9,14465,24009,13228,5,14465
10,13398,20285,13228,5,20285
11,1092,6691,12814,9,1092
12,1075,674,12814,9,1075
13,9043,10202,12991,5,9043
14,18017,728,12991,5,728
15,10828,14814,12992,5,14814
16,616,6962,12992,5,6962
17,3996,31392,12992,5,3996
18,41921,28053,12993,4,28053
19,875,6080,12993,4,6080
20,7732,32032,13224,4,7732
21,30518,22150,13224,4,22150
22,18720,24288,13224,4,18720
23,22949,29367,13225,4,22949
24,745,7462,12993,4,745
25,18398,17735,13232,4,18398
26,4146,26218,12991,5,4146
27,13957,6002,12992,5,6002
28,1936,10415,12992,5,1936
29,13429,26221,12993,5,13429
30,762,11517,12993,5,11517
31,7772,2904,12993,5,2904
32,4003,875,12993,5,4003
33,891,23160,13225,5,891
34,22949,13804,13225,5,13804
35,28346,29667,13225,5,29667
36,14861,30931,13227,5,14861
37,23240,28813,13227,5,23240
38,19871,34693,13227,5,19871
39,25861,29047,13227,5,25861
40,14479,44545,13232,5,14479
41,9941,25934,13232,5,9941
42,17358,29967,13232,5,17358
43,5992,831,12814,9,5992
44,20650,11226,12814,9,11226
45,30470,30978,12815,6,30470
46,41964,36767,12815,6,36767
47,7757,22439,12991,9,7757
48,50925,9878,12991,10,9878
49,14177,7345,12992,5,14177
50,13048,1747,12992,5,1747
51,9488,19962,12993,5,9488
52,9584,12896,12993,5,9584
53,23235,34493,12993,9,23235
54,6575,23204,13226,5,6575
55,14884,18282,13226,5,14884
56,34103,43950,13226,5,43950
57,22437,13607,13231,5,22437
58,4453,18579,13231,5,4453
59,11358,31458,13231,5,11358
60,24840,36114,13231,5,24840
61,8440,17356,13231,5,8440
62,10203,30626,13231,5,30626
63,35036,36263,12815,6,36263
64,9043,18017,12991,9,18017
65,1266,7889,12993,5,1266
66,13576,745,12993,5,745
67,50924,41921,12993,9,41921
68,4025,28295,13223,9,4025
69,9493,43553,13223,9,9493
70,22979,22428,13223,9,22428
71,17903,25160,13223,9,25160
72,10975,25818,13224,5,10975
73,7732,15000,13224,5,7732
74,24841,14898,13224,5,14898
75,18720,30518,13224,5,18720
76,21548,10492,13225,5,21548
77,21396,24247,13225,5,21396
78,13209,12195,13228,9,12195
79,7826,14387,13228,9,14387
80,21631,21463,13230,5,21463
81,14561,36118,13230,5,14561
82,11957,32913,13231,5,11957
83,25543,4146,12991,9,4146
84,14465,26890,13228,9,14465
85,11981,13398,13228,9,11981
86,3849,13231,13229,9,13231
87,11575,8354,13229,9,11575
88,9543,12977,13229,9,9543
89,14889,7612,13229,9,14889
90,13017,14977,13232,5,13017
91,20979,22800,13232,5,22800
92,23365,18398,13232,5,18398
93,34789,36470,13232,5,36470
94,28073,11742,13222,9,11742
95,26926,18089,13222,9,18089
96,15021,4019,13222,9,15021
97,16996,34538,13222,9,34538
98,12544,6575,13226,9,12544
99,11224,10990,13226,9,11224
100,27358,26826,13226,9,26826
101,13607,10005,13231,4,13607
102,32913,50660,13231,4,32913
103,4453,17018,13231,4,17018
104,24840,30545,13231,4,24840
105,30626,33738,13231,4,33738
106,22272,7385,13224,4,7385
107,11742,11797,13222,5,11742
108,18089,17005,13222,5,17005
109,26926,12226,13222,5,12226
110,13231,23998,13229,5,13231
111,3849,10713,13229,5,3849
112,11575,32383,13229,5,11575
113,8354,19685,13229,5,19685
114,12977,21553,13229,5,21553
115,7612,24650,13229,5,24650
116,14889,12938,13229,5,12938
117,28073,29943,13222,5,29943
118,33439,14510,13221,5,14510
119,13267,23462,13221,5,13267
120,17741,23815,13221,5,23815
121,27531,13073,13221,5,27531
122,30470,36594,12815,5,30470
123,36263,34973,12815,5,34973
124,41964,39309,12815,5,39309
125,40434,30419,12815,6,30419
126,37577,39306,12815,6,39306
127,13674,9833,12991,9,9833
128,12544,14427,13226,5,14427
129,11224,29795,13226,5,11224
130,10990,24127,13226,5,10990
131,26826,35086,13226,5,26826
132,13209,24721,13228,5,24721
133,11981,26061,13228,5,11981
134,14387,17357,13228,5,14387
135,7826,30692,13228,5,7826
136,14959,29040,13230,5,29040
137,11941,14694,13230,5,11941
138,8216,19879,13230,5,8216
139,6340,28063,12814,9,28063
140,33502,34337,12815,6,33502
141,37164,34233,12815,6,34233
142,13674,7757,12991,10,7757
143,17123,33439,13221,9,33439
144,13069,34537,13221,9,13069
145,13267,17741,13221,9,17741
146,27531,17830,13221,9,27531
147,4025,9493,13223,10,9493
148,22979,17903,13223,10,17903
149,22949,891,13225,9,891
150,28346,22591,13225,9,28346
151,33502,30470,12815,9,30470
152,35036,37164,12815,9,35036
153,40434,37577,12815,9,40434
154,9043,25543,12991,10,9043
155,762,1266,12993,9,1266
156,9584,13576,12993,9,9584
157,4003,7772,12993,9,4003
158,21548,20702,13225,9,21548
159,21396,23337,13225,9,23337
160,7826,11981,13228,10,11981
161,11941,14959,13230,9,11941
162,8216,3754,13230,9,3754
163,21631,14561,13230,9,14561
164,6340,25332,12814,10,25332
165,5992,20650,12814,10,5992
166,50271,50925,12991,12,50925
167,10828,616,12992,9,616
168,3996,14609,12992,9,14609
169,13429,9488,12993,9,9488
170,28978,50924,12993,10,50924
171,1075,1092,12814,10,1075
172,1936,13957,12992,9,13957
173,14177,13048,12992,9,14177
174,11323,29905,13224,5,29905
175,23099,22272,13224,5,23099
176,7732,10975,13224,9,10975
177,18720,24841,13224,9,18720
178,14884,34103,13226,9,34103
179,14861,29351,13227,9,14861
180,19871,23240,13227,9,19871
181,25861,14616,13227,9,25861
182,30537,17004,13227,9,30537
183,22280,19857,13230,9,22280
184,22437,11957,13231,9,11957
185,4453,28932,13231,9,28932
186,24840,11358,13231,9,11358
187,10203,8440,13231,9,8440
188,13017,20979,13232,9,13017
189,14479,23365,13232,9,14479
190,9941,34789,13232,9,9941
191,9109,17358,13232,9,9109
192,11323,23099,13224,9,23099
193,14894,23012,13224,9,23012
194,28073,26926,13222,10,26926
195,16996,15021,13222,10,15021
196,11575,3849,13229,10,3849
197,14889,9543,13229,10,9543
198,17123,13069,13221,10,13069
199,13267,27531,13221,10,27531
200,4025,22979,13223,12,22979
201,7382,37054,13157,1,7382
202,27482,34038,13157,1,27482
203,37781,18457,13159,1,18457
204,9043,13674,12991,12,13674
205,24706,34131,13157,1,34131
206,20100,14960,13157,1,14960
207,12430,1782,13158,1,1782
208,11948,18155,13158,1,11948
209,10500,13898,13159,1,13898
210,20653,19755,13159,1,20653
211,10011,28895,13160,1,10011
212,28988,23643,13160,1,23643
213,29894,10901,13160,1,10901
214,31392,13683,13160,1,13683
215,29959,11181,13160,1,11181
216,18748,10844,13160,1,10844
217,11941,22280,13230,10,22280
218,40434,41964,12815,10,40434
219,5058,9840,12816,1,9840
220,22807,875,12816,1,875
221,5127,7803,12816,1,5127
222,854,6431,12817,1,6431
223,10828,3996,12992,10,3996
224,762,13429,12993,10,13429
225,4003,9584,12993,10,4003
226,17355,43295,13157,1,17355
227,12852,34035,13157,2,12852
228,11208,12195,13157,2,12195
229,21329,7146,13158,2,21329
230,12214,21070,13158,2,21070
231,23640,48854,13160,1,23640
232,16433,20694,13160,1,20694
233,34539,24534,13160,1,24534
234,22600,28993,13161,1,22600
235,23155,5884,13161,1,5884
236,22949,28346,13225,10,28346
237,11224,12544,13226,10,12544
238,27358,14884,13226,10,27358
239,25861,30537,13227,10,30537
240,14465,13209,13228,10,14465
241,35036,33502,12815,10,33502
242,1718,14891,12816,1,14891
243,775,12896,12816,1,12896
244,5129,14716,12817,1,5129
245,7393,736,12817,1,7393
246,6225,10014,12817,1,10014
247,7382,5904,13157,2,5904
248,27482,26845,13157,2,26845
249,11438,12430,13158,2,11438
250,8722,11202,13158,2,8722
251,10505,15075,13160,1,15075
252,19584,20750,13160,1,19584
253,804,21757,13160,1,21757
254,882,20463,13160,1,882
255,24877,33452,13161,2,24877
256,21548,21396,13225,10,21548
257,19871,14861,13227,10,14861
258,21631,8216,13230,10,8216
259,22437,4453,13231,10,4453
260,24840,10203,13231,10,10203
261,27111,12661,12816,1,12661
262,11009,28685,12816,1,11009
263,19962,8659,12816,1,8659
264,1266,1687,12817,1,1266
265,427,6528,12817,1,427
266,7772,575,12817,1,575
267,14177,1936,12992,10,14177
268,17964,24706,13157,2,17964
269,14856,17355,13157,2,14856
270,20100,7545,13157,2,7545
271,10590,29159,13158,2,10590
272,26313,11948,13158,2,11948
273,7348,13637,13159,1,13637
274,14530,18282,13159,1,14530
275,29889,19948,13159,1,29889
276,9229,12202,13161,2,9229
277,14965,22600,13161,2,14965
278,11492,12231,13161,2,11492
279,23155,20846,13161,2,20846
280,14465,7826,13228,12,7826
281,13017,14479,13232,10,14479
282,9109,9941,13232,10,9941
283,6340,5150,12814,12,5150
284,1049,10400,12817,1,10400
285,14477,7245,13159,1,7245
286,42737,7260,13159,1,7260
287,22428,28295,13159,1,22428
288,7732,18720,13224,10,18720
289,14894,11323,13224,10,14894
290,17123,13267,13221,12,13267
291,28073,16996,13222,12,16996
292,11575,14889,13229,12,11575
293,25451,30469,13158,2,30469
294,8741,34548,13159,1,8741
295,22807,5058,12816,3,5058
296,651,19946,13159,2,19946
297,20653,37781,13159,2,20653
298,25482,30096,13159,2,25482
299,10971,7348,13159,2,7348
300,28988,10011,13160,2,10011
301,16433,804,13160,2,16433
302,30856,29959,13160,2,29959
303,23235,28978,12993,12,28978
304,20100,11208,13157,3,11208
305,29894,31392,13160,2,31392
306,27358,11224,13226,12,11224
307,25861,19871,13227,12,19871
308,35036,40434,12815,12,40434
309,5127,1718,12816,3,5127
310,26922,12852,13157,3,12852
311,21329,25451,13158,3,21329
312,9658,12214,13158,3,12214
313,24711,10500,13159,2,10500
314,14477,8741,13159,2,8741
315,22428,42737,13159,2,22428
316,14530,29889,13159,2,29889
317,11310,23640,13160,2,11310
318,34539,18748,13160,2,34539
319,21548,22949,13225,12,21548
320,21631,11941,13230,12,11941
321,24840,22437,13231,12,24840
322,27111,775,12816,3,775
323,19962,11009,12816,3,11009
324,10828,14177,12992,12,14177
325,4003,762,12993,12,762
326,27482,7382,13157,3,7382
327,10590,11438,13158,3,11438
328,8722,26313,13158,3,26313
329,10505,19584,13160,2,19584
330,882,24646,13160,2,882
331,24877,6228,13161,3,6228
332,9109,13017,13232,12,13017
333,5992,1075,12814,12,5992
334,17964,14856,13157,3,14856
